Country,Indicator,Value
Saint Vincent and the Grenadines,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),31
Saint Vincent and the Grenadines,Gross Domestic Product (GDP) per Capita in PPP Int$,"12,291"
Saint Vincent and the Grenadines,Government schemes and compulsory contributory health care financing schemes,25
Saint Vincent and the Grenadines,Voluntary health care payment schemes,1
Saint Vincent and the Grenadines,Household out-of-pocket payment,10
Suriname,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Suriname,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),66
Suriname,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),20
Suriname,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),75
Suriname,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),23
Suriname,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),25
Suriname,Gross Domestic Product (GDP) per Capita in PPP Int$,"14,802"
Suriname,Government schemes and compulsory contributory health care financing schemes,204
Suriname,Voluntary health care payment schemes,15
Suriname,Household out-of-pocket payment,54
Trinidad and Tobago,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Trinidad and Tobago,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),49
Trinidad and Tobago,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),44
Trinidad and Tobago,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),49
Trinidad and Tobago,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),49
Trinidad and Tobago,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),51
Trinidad and Tobago,Gross Domestic Product (GDP) per Capita in PPP Int$,"30,289"
Trinidad and Tobago,Government schemes and compulsory contributory health care financing schemes,767
Trinidad and Tobago,Voluntary health care payment schemes,108
Trinidad and Tobago,Household out-of-pocket payment,686
United States of America,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),17
United States of America,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),50
United States of America,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
United States of America,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),85
United States of America,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),26
United States of America,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),15
United States of America,Gross Domestic Product (GDP) per Capita in PPP Int$,"62,918"
United States of America,Government schemes and compulsory contributory health care financing schemes,"2,943,051"
United States of America,Voluntary health care payment schemes,"156,360"
United States of America,Household out-of-pocket payment,"375,610"
Uruguay,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Uruguay,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),73
Uruguay,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),17
Uruguay,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),72
Uruguay,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),18
Uruguay,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),28
Uruguay,Gross Domestic Product (GDP) per Capita in PPP Int$,"23,572"
Uruguay,Government schemes and compulsory contributory health care financing schemes,"3,959"
Uruguay,Voluntary health care payment schemes,596
Uruguay,Household out-of-pocket payment,930
Venezuela (Bolivarian Republic of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Venezuela (Bolivarian Republic of),Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),48
Venezuela (Bolivarian Republic of),Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),38
Venezuela (Bolivarian Republic of),Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),48
Venezuela (Bolivarian Republic of),Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),41
Venezuela (Bolivarian Republic of),Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),52
Venezuela (Bolivarian Republic of),Gross Domestic Product (GDP) per Capita in PPP Int$,"10,765"
Venezuela (Bolivarian Republic of),Government schemes and compulsory contributory health care financing schemes,"3,552"
Venezuela (Bolivarian Republic of),Voluntary health care payment schemes,"1,036"
Venezuela (Bolivarian Republic of),Household out-of-pocket payment,"2,835"
Afghanistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Afghanistan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),5
Afghanistan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),78
Afghanistan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),13
Afghanistan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),13
Afghanistan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),87
Afghanistan,Gross Domestic Product (GDP) per Capita in PPP Int$,"1,984"
Afghanistan,Government schemes and compulsory contributory health care financing schemes,244
Afghanistan,Voluntary health care payment schemes,157
Afghanistan,Household out-of-pocket payment,"1,452"
Bahrain,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Bahrain,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),59
Bahrain,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),30
Bahrain,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),59
Bahrain,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),59
Bahrain,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),41
Bahrain,Gross Domestic Product (GDP) per Capita in PPP Int$,"47,304"
Bahrain,Government schemes and compulsory contributory health care financing schemes,918
Bahrain,Voluntary health care payment schemes,174
Bahrain,Household out-of-pocket payment,468
Djibouti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2
Djibouti,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),50
Djibouti,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Djibouti,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),54
Djibouti,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Djibouti,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),46
Djibouti,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,803"
Djibouti,Government schemes and compulsory contributory health care financing schemes,37
Djibouti,Voluntary health care payment schemes,11
Djibouti,Household out-of-pocket payment,20
Egypt,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Egypt,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),29
Egypt,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),62
Egypt,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),30
Egypt,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),23
Egypt,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),70
Egypt,Gross Domestic Product (GDP) per Capita in PPP Int$,"12,412"
Egypt,Government schemes and compulsory contributory health care financing schemes,"3,688"
Egypt,Voluntary health care payment schemes,975
Egypt,Household out-of-pocket payment,"7,693"
Iran,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Iran,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),46
Iran,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),36
Iran,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),46
Iran,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),14
Iran,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),54
Iran,Gross Domestic Product (GDP) per Capita in PPP Int$,"19,527"
Iran,Government schemes and compulsory contributory health care financing schemes,"18,194"
Iran,Voluntary health care payment schemes,"7,227"
Iran,Household out-of-pocket payment,"14,193"
Iraq,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Iraq,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),48
Iraq,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),51
Iraq,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),49
Iraq,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),49
Iraq,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),51
Iraq,Gross Domestic Product (GDP) per Capita in PPP Int$,"17,436"
Iraq,Government schemes and compulsory contributory health care financing schemes,"4,465"
Iraq,Voluntary health care payment schemes,12
Iraq,Household out-of-pocket payment,"4,725"
Jordan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Jordan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),49
Jordan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),31
Jordan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),52
Jordan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),34
Jordan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),48
Jordan,Gross Domestic Product (GDP) per Capita in PPP Int$,"9,470"
Jordan,Government schemes and compulsory contributory health care financing schemes,"1,701"
Jordan,Voluntary health care payment schemes,579
Jordan,Household out-of-pocket payment,"1,009"
Kuwait,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Kuwait,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),88
Kuwait,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),11
Kuwait,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),88
Kuwait,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),88
Kuwait,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),12
Kuwait,Gross Domestic Product (GDP) per Capita in PPP Int$,"73,392"
Kuwait,Government schemes and compulsory contributory health care financing schemes,"6,233"
Kuwait,Voluntary health care payment schemes,81
Kuwait,Household out-of-pocket payment,766
Lebanon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Lebanon,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),50
Lebanon,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),33
Lebanon,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),49
Lebanon,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),25
Lebanon,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),51
Lebanon,Gross Domestic Product (GDP) per Capita in PPP Int$,"13,000"
Lebanon,Government schemes and compulsory contributory health care financing schemes,"2,304"
Lebanon,Voluntary health care payment schemes,841
Lebanon,Household out-of-pocket payment,"1,564"
Morocco,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Morocco,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),40
Morocco,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),47
Morocco,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),51
Morocco,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),22
Morocco,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),49
Morocco,Gross Domestic Product (GDP) per Capita in PPP Int$,"8,793"
Morocco,Government schemes and compulsory contributory health care financing schemes,"3,224"
Morocco,Voluntary health care payment schemes,115
Morocco,Household out-of-pocket payment,"2,959"
Oman,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Oman,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),88
Oman,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),6
Oman,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),88
Oman,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),88
Oman,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),12
Oman,Gross Domestic Product (GDP) per Capita in PPP Int$,"41,860"
Oman,Government schemes and compulsory contributory health care financing schemes,"2,871"
Oman,Voluntary health care payment schemes,208
Oman,Household out-of-pocket payment,196
Pakistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Pakistan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),36
Pakistan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),56
Pakistan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),34
Pakistan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),34
Pakistan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),66
Pakistan,Gross Domestic Product (GDP) per Capita in PPP Int$,"5,567"
Pakistan,Government schemes and compulsory contributory health care financing schemes,"3,132"
Pakistan,Voluntary health care payment schemes,850
Pakistan,Household out-of-pocket payment,"5,117"
Qatar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2
Qatar,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),75
Qatar,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),10
Qatar,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),75
Qatar,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),75
Qatar,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),25
Qatar,Gross Domestic Product (GDP) per Capita in PPP Int$,"126,898"
Qatar,Government schemes and compulsory contributory health care financing schemes,"3,565"
Qatar,Voluntary health care payment schemes,754
Qatar,Household out-of-pocket payment,455
Saudi Arabia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Saudi Arabia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),62
Saudi Arabia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),14
Saudi Arabia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),73
Saudi Arabia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),62
Saudi Arabia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),27
Saudi Arabia,Gross Domestic Product (GDP) per Capita in PPP Int$,"55,331"
Saudi Arabia,Government schemes and compulsory contributory health care financing schemes,"36,712"
Saudi Arabia,Voluntary health care payment schemes,"6,135"
Saudi Arabia,Household out-of-pocket payment,"7,188"
Sudan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Sudan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),23
Sudan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),66
Sudan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),24
Sudan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),17
Sudan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),76
Sudan,Gross Domestic Product (GDP) per Capita in PPP Int$,"6,494"
Sudan,Government schemes and compulsory contributory health care financing schemes,609
Sudan,Voluntary health care payment schemes,244
Sudan,Household out-of-pocket payment,"1,673"
Tunisia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Tunisia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),57
Tunisia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),39
Tunisia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),58
Tunisia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),27
Tunisia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),42
Tunisia,Gross Domestic Product (GDP) per Capita in PPP Int$,"12,510"
Tunisia,Government schemes and compulsory contributory health care financing schemes,"1,680"
Tunisia,Voluntary health care payment schemes,98
Tunisia,Household out-of-pocket payment,"1,131"
United Arab Emirates,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
United Arab Emirates,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),52
United Arab Emirates,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),13
United Arab Emirates,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),78
United Arab Emirates,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),50
United Arab Emirates,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),22
United Arab Emirates,Gross Domestic Product (GDP) per Capita in PPP Int$,"75,075"
United Arab Emirates,Government schemes and compulsory contributory health care financing schemes,"13,568"
United Arab Emirates,Voluntary health care payment schemes,"1,677"
United Arab Emirates,Household out-of-pocket payment,"2,222"
Albania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5
Albania,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),54
Albania,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Albania,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),55
Albania,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),7
Albania,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),45
Albania,Gross Domestic Product (GDP) per Capita in PPP Int$,"13,250"
Albania,Government schemes and compulsory contributory health care financing schemes,436
Albania,Voluntary health care payment schemes,3
Albania,Household out-of-pocket payment,353
Andorra,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Andorra,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),68
Andorra,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),14
Andorra,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),68
Andorra,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),16
Andorra,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),32
Andorra,Gross Domestic Product (GDP) per Capita in PPP Int$,"53,753"
Andorra,Government schemes and compulsory contributory health care financing schemes,148
Andorra,Voluntary health care payment schemes,40
Andorra,Household out-of-pocket payment,30
Armenia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Armenia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),12
Armenia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),84
Armenia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),13
Armenia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),13
Armenia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),87
Armenia,Gross Domestic Product (GDP) per Capita in PPP Int$,"10,343"
Armenia,Government schemes and compulsory contributory health care financing schemes,165
Armenia,Voluntary health care payment schemes,31
Armenia,Household out-of-pocket payment,"1,050"
Austria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Austria,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),73
Austria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),18
Austria,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),75
Austria,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),30
Austria,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),25
Austria,Gross Domestic Product (GDP) per Capita in PPP Int$,"56,937"
Austria,Government schemes and compulsory contributory health care financing schemes,"35,103"
Austria,Voluntary health care payment schemes,"3,258"
Austria,Household out-of-pocket payment,"8,630"
Azerbaijan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4
Azerbaijan,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),27
Azerbaijan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),73
Azerbaijan,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),27
Azerbaijan,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),27
Azerbaijan,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),73
Azerbaijan,Gross Domestic Product (GDP) per Capita in PPP Int$,"18,031"
Azerbaijan,Government schemes and compulsory contributory health care financing schemes,447
Azerbaijan,Voluntary health care payment schemes,2
Azerbaijan,Household out-of-pocket payment,"1,201"
Belarus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Belarus,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),70
Belarus,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),25
Belarus,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),71
Belarus,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),71
Belarus,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),29
Belarus,Gross Domestic Product (GDP) per Capita in PPP Int$,"20,064"
Belarus,Government schemes and compulsory contributory health care financing schemes,"2,378"
Belarus,Voluntary health care payment schemes,149
Belarus,Household out-of-pocket payment,840
Belgium,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Belgium,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),76
Belgium,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),19
Belgium,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),76
Belgium,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),20
Belgium,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),24
Belgium,Gross Domestic Product (GDP) per Capita in PPP Int$,"52,380"
Belgium,Government schemes and compulsory contributory health care financing schemes,"42,453"
Belgium,Voluntary health care payment schemes,"2,877"
Belgium,Household out-of-pocket payment,"10,668"
Bosnia and Herzegovina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Bosnia and Herzegovina,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),70
Bosnia and Herzegovina,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),29
Bosnia and Herzegovina,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),70
Bosnia and Herzegovina,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),3
Bosnia and Herzegovina,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),30
Bosnia and Herzegovina,Gross Domestic Product (GDP) per Capita in PPP Int$,"14,624"
Bosnia and Herzegovina,Government schemes and compulsory contributory health care financing schemes,"1,260"
Bosnia and Herzegovina,Voluntary health care payment schemes,7
Bosnia and Herzegovina,Household out-of-pocket payment,526
Bulgaria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Bulgaria,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),58
Bulgaria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),41
Bulgaria,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),59
Bulgaria,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),10
Bulgaria,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),41
Bulgaria,Gross Domestic Product (GDP) per Capita in PPP Int$,"22,239"
Bulgaria,Government schemes and compulsory contributory health care financing schemes,"2,874"
Bulgaria,Voluntary health care payment schemes,77
Bulgaria,Household out-of-pocket payment,"1,913"
Croatia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Croatia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),83
Croatia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),10
Croatia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),83
Croatia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),4
Croatia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),17
Croatia,Gross Domestic Product (GDP) per Capita in PPP Int$,"27,481"
Croatia,Government schemes and compulsory contributory health care financing schemes,"3,450"
Croatia,Voluntary health care payment schemes,278
Croatia,Household out-of-pocket payment,436
Cyprus,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Cyprus,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),43
Cyprus,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Cyprus,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
Cyprus,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Cyprus,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),57
Cyprus,Gross Domestic Product (GDP) per Capita in PPP Int$,"38,773"
Cyprus,Government schemes and compulsory contributory health care financing schemes,726
Cyprus,Voluntary health care payment schemes,209
Cyprus,Household out-of-pocket payment,754
Czech Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8
Czech Republic,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),83
Czech Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),14
Czech Republic,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),83
Czech Republic,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),13
Czech Republic,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),17
Czech Republic,Gross Domestic Product (GDP) per Capita in PPP Int$,"39,763"
Czech Republic,Government schemes and compulsory contributory health care financing schemes,"15,554"
Czech Republic,Voluntary health care payment schemes,520
Czech Republic,Household out-of-pocket payment,"2,658"
Denmark,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10
Denmark,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),84
Denmark,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),14
Denmark,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),84
Denmark,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),84
Denmark,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),16
Denmark,Gross Domestic Product (GDP) per Capita in PPP Int$,"57,536"
Denmark,Government schemes and compulsory contributory health care financing schemes,"30,147"
Denmark,Voluntary health care payment schemes,846
Denmark,Household out-of-pocket payment,"4,947"
Estonia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7
Estonia,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),74
Estonia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),25
Estonia,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),74
Estonia,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),9
Estonia,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),26
Estonia,Gross Domestic Product (GDP) per Capita in PPP Int$,"36,299"
Estonia,Government schemes and compulsory contributory health care financing schemes,"1,509"
Estonia,Voluntary health care payment schemes,36
Estonia,Household out-of-pocket payment,503
Finland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9
Finland,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),79
Finland,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),18
Finland,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),77
Finland,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),63
Finland,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),23
Finland,Gross Domestic Product (GDP) per Capita in PPP Int$,"49,320"
Finland,Government schemes and compulsory contributory health care financing schemes,"19,182"
Finland,Voluntary health care payment schemes,"1,160"
Finland,Household out-of-pocket payment,"4,596"
France,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),11
France,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),73
France,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),9
France,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),84
France,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),5
